parent,child,parentLabel,childLabel
Q729,Q25241,Animal,Vertebrata
Q729,Q777371,Animal,Quadruped
Q777371,Q19159,Quadruped,Tetrapoda
Q25241,Q19159,Vertebrata,Tetrapoda
Q19159,Q5113,Tetrapoda,Birds
Q25241,Q152,Vertebrata,Fish
Q1756633,Q152,Aquatic Animal,Fish
Q188438,Q5113,Theropod,Birds
Q430,Q188438,Dinosaur,Theropod
Q729,Q1756633,Animal,Aquatic Animal
Q25241,Q76280,Vertebrata,Tench
Q25241,Q123141,Vertebrata,Goldfish
Q152,Q7372,Fish,Shark
Q7372,Q129026,Shark,Great White Shark
Q25241,Q129026,Vertebrata,Great White Shark
Q7372,Q188212,Shark,Galeocerdo Cuvier
Q25241,Q188212,Vertebrata,Galeocerdo Cuvier
Q7372,Q726259,Shark,Smooth Hammerhead
Q25241,Q726259,Vertebrata,Smooth Hammerhead
Q25241,Q206675,Vertebrata,Torpedo
Q152,Q1394029,Fish,Electric Fish
Q1394029,Q41317,Electric Fish,Electric Ray
Q41317,Q206675,Electric Ray,Torpedo
Q25241,Q902487,Vertebrata,Dasyatis
Q1797813,Q780,Productive Animal,Chicken
Q57815212,Q178559,Domesticated Bird,Poultry
Q57812559,Q1797813,Captive Animal,Productive Animal
Q729,Q16390140,Animal,Wild Animal
Q729,Q622852,Animal,Domesticated Animal
Q178559,Q780,Poultry,Chicken
Q622852,Q57815212,Domesticated Animal,Domesticated Bird
Q16390140,Q57812559,Wild Animal,Captive Animal
Q622852,Q1797813,Domesticated Animal,Productive Animal
Q780,Q2216236,Chicken,Rooster
Q178559,Q2216236,Poultry,Rooster
Q729,Q430,Animal,Dinosaur
Q430,Q222951,Dinosaur,Gallus
Q5113,Q222951,Birds,Gallus
Q19159,Q222951,Tetrapoda,Gallus
Q25241,Q222951,Vertebrata,Gallus
Q430,Q2576337,Dinosaur,Struthio
Q5113,Q2576337,Birds,Struthio
Q19159,Q2576337,Tetrapoda,Struthio
Q25241,Q2576337,Vertebrata,Struthio
Q430,Q188877,Dinosaur,Brambling
Q5113,Q188877,Birds,Brambling
Q19159,Q188877,Tetrapoda,Brambling
Q25241,Q188877,Vertebrata,Brambling
Q430,Q27757,Dinosaur,Carduelis
Q5113,Q27757,Birds,Carduelis
Q19159,Q27757,Tetrapoda,Carduelis
Q25241,Q27757,Vertebrata,Carduelis
Q430,Q374302,Dinosaur,House Finch
Q5113,Q374302,Birds,House Finch
Q19159,Q374302,Tetrapoda,House Finch
Q25241,Q374302,Vertebrata,House Finch
Q430,Q857319,Dinosaur,Junco
Q5113,Q857319,Birds,Junco
Q19159,Q857319,Tetrapoda,Junco
Q25241,Q857319,Vertebrata,Junco
Q430,Q1049642,Dinosaur,Indigo Bunting
Q5113,Q1049642,Birds,Indigo Bunting
Q19159,Q1049642,Tetrapoda,Indigo Bunting
Q25241,Q1049642,Vertebrata,Indigo Bunting
Q430,Q460967,Dinosaur,American Robin
Q5113,Q460967,Birds,American Robin
Q19159,Q460967,Tetrapoda,American Robin
Q25241,Q460967,Vertebrata,American Robin
Q430,Q188854,Dinosaur,Pycnonotidae
Q5113,Q188854,Birds,Pycnonotidae
Q19159,Q188854,Tetrapoda,Pycnonotidae
Q25241,Q188854,Vertebrata,Pycnonotidae
Q430,Q311248,Dinosaur,Garrulus
Q5113,Q311248,Birds,Garrulus
Q19159,Q311248,Tetrapoda,Garrulus
Q25241,Q311248,Vertebrata,Garrulus
Q430,Q271634,Dinosaur,Pica
Q5113,Q271634,Birds,Pica
Q19159,Q271634,Tetrapoda,Pica
Q25241,Q271634,Vertebrata,Pica
Q430,Q1075355,Dinosaur,Poecile
Q5113,Q1075355,Birds,Poecile
Q19159,Q1075355,Tetrapoda,Poecile
Q25241,Q1075355,Vertebrata,Poecile
Q1075355,Q17053748,Poecile,Chickadee
Q430,Q201831,Dinosaur,White-Throated Dipper
Q5113,Q201831,Birds,White-Throated Dipper
Q19159,Q201831,Tetrapoda,White-Throated Dipper
Q25241,Q201831,Vertebrata,White-Throated Dipper
Q430,Q25510,Dinosaur,Accipitridae
Q5113,Q25510,Birds,Accipitridae
Q19159,Q25510,Tetrapoda,Accipitridae
Q25241,Q25510,Vertebrata,Accipitridae
Q430,Q127216,Dinosaur,Bald Eagle
Q5113,Q127216,Birds,Bald Eagle
Q19159,Q127216,Tetrapoda,Bald Eagle
Q25241,Q127216,Vertebrata,Bald Eagle
Q5113,Q123120,Birds,Vulture
Q430,Q200724,Dinosaur,Great Grey Owl
Q25241,Q200724,Vertebrata,Great Grey Owl
Q5113,Q200724,Birds,Great Grey Owl
Q430,Q25222,Dinosaur,Strigiformes
Q25241,Q25222,Vertebrata,Strigiformes
Q5113,Q25222,Birds,Strigiformes
Q19159,Q25222,Tetrapoda,Strigiformes
Q25222,Q26012,Strigiformes,Strigidae
Q26012,Q200724,Strigidae,Great Grey Owl
Q19159,Q200724,Tetrapoda,Great Grey Owl
Q25222,Q200724,Strigiformes,Great Grey Owl
Q19159,Q10908,Tetrapoda,Amphibia
Q10908,Q26395,Amphibia,Fire Salamander
Q19159,Q26395,Tetrapoda,Fire Salamander
Q25241,Q26395,Vertebrata,Fire Salamander
Q10908,Q215247,Amphibia,Lissotriton Vulgaris
Q19159,Q215247,Tetrapoda,Lissotriton Vulgaris
Q25241,Q215247,Vertebrata,Lissotriton Vulgaris
Q10908,Q2108247,Amphibia,Ambystoma Maculatum
Q19159,Q2108247,Tetrapoda,Ambystoma Maculatum
Q25241,Q2108247,Vertebrata,Ambystoma Maculatum
Q10908,Q22718,Amphibia,Axolotl
Q19159,Q22718,Tetrapoda,Axolotl
Q25241,Q22718,Vertebrata,Axolotl
Q10908,Q159404,Amphibia,Bullfrog
Q19159,Q159404,Tetrapoda,Bullfrog
Q25241,Q159404,Vertebrata,Bullfrog
Q10908,Q1144302,Amphibia,Tree Frog
Q19159,Q1144302,Tetrapoda,Tree Frog
Q25241,Q1144302,Vertebrata,Tree Frog
Q10908,Q2925426,Amphibia,Tailed Frog
Q19159,Q2925426,Tetrapoda,Tailed Frog
Q25241,Q2925426,Vertebrata,Tailed Frog
Q19159,Q203538,Tetrapoda,Hawksbill Sea Turtle
Q25241,Q203538,Vertebrata,Hawksbill Sea Turtle
Q19159,Q10811,Tetrapoda,Reptilia
Q25241,Q10811,Vertebrata,Reptilia
Q10811,Q32945370,Reptilia,Turtles
Q32945370,Q223044,Turtles,Turtle
Q223044,Q203538,Turtle,Hawksbill Sea Turtle
Q19159,Q120043,Tetrapoda,Leatherback Sea Turtle
Q25241,Q120043,Vertebrata,Leatherback Sea Turtle
Q223044,Q120043,Turtle,Leatherback Sea Turtle
Q19159,Q2500468,Tetrapoda,Mud Turtle
Q25241,Q2500468,Vertebrata,Mud Turtle
Q223044,Q2500468,Turtle,Mud Turtle
Q19159,Q1946537,Tetrapoda,Testudinoidea
Q25241,Q1946537,Vertebrata,Testudinoidea
Q223044,Q1946537,Turtle,Testudinoidea
Q1946537,Q7703292,Testudinoidea,Terrapin
Q19159,Q734870,Tetrapoda,Box Turtle
Q25241,Q734870,Vertebrata,Box Turtle
Q223044,Q734870,Turtle,Box Turtle
Q19159,Q215376,Tetrapoda,Green Iguana
Q25241,Q215376,Vertebrata,Green Iguana
Q19159,Q930252,Tetrapoda,Anolis Carolinensis
Q25241,Q930252,Vertebrata,Anolis Carolinensis
Q19159,Q827111,Tetrapoda,Teiidae
Q25241,Q827111,Vertebrata,Teiidae
Q19159,Q1153386,Tetrapoda,Agama
Q25241,Q1153386,Vertebrata,Agama
Q19159,Q501566,Tetrapoda,Frill-Necked Lizard
Q25241,Q501566,Vertebrata,Frill-Necked Lizard
Q19159,Q1522299,Tetrapoda,Alligator Lizard
Q25241,Q1522299,Vertebrata,Alligator Lizard
Q19159,Q207058,Tetrapoda,Gila Monster
Q25241,Q207058,Vertebrata,Gila Monster
Q19159,Q307047,Tetrapoda,Lacerta Viridis
Q25241,Q307047,Vertebrata,Lacerta Viridis
Q19159,Q577924,Tetrapoda,Chamaeleo Chamaeleon
Q25241,Q577924,Vertebrata,Chamaeleo Chamaeleon
Q19159,Q4504,Tetrapoda,Varanus Komodoensis
Q25241,Q4504,Vertebrata,Varanus Komodoensis
Q19159,Q168745,Tetrapoda,Nile Crocodile
Q25241,Q168745,Vertebrata,Nile Crocodile
Q19159,Q193327,Tetrapoda,American Alligator
Q25241,Q193327,Vertebrata,American Alligator
Q10811,Q530397,Reptilia,Alligator
Q530397,Q193327,Alligator,American Alligator
Q430,Q14384,Dinosaur,Triceratops
Q19159,Q14384,Tetrapoda,Triceratops
Q25241,Q14384,Vertebrata,Triceratops
Q19159,Q2940133,Tetrapoda,Carphophis Amoenus
Q25241,Q2940133,Vertebrata,Carphophis Amoenus
Q19159,Q2704229,Tetrapoda,Ring-Necked Snake
Q25241,Q2704229,Vertebrata,Ring-Necked Snake
Q19159,Q369667,Tetrapoda,Bitis Arietans
Q25241,Q369667,Vertebrata,Bitis Arietans
Q19159,Q170713,Tetrapoda,Grass Snake
Q25241,Q170713,Vertebrata,Grass Snake
Q19159,Q1364033,Tetrapoda,Lampropeltis
Q25241,Q1364033,Vertebrata,Lampropeltis
Q19159,Q1149509,Tetrapoda,Garter Snake
Q25241,Q1149509,Vertebrata,Garter Snake
Q19159,Q35541230,Tetrapoda,Barred Grass Snake
Q25241,Q35541230,Vertebrata,Barred Grass Snake
Q19159,Q922205,Tetrapoda,Hypsiglena Torquata
Q25241,Q922205,Vertebrata,Hypsiglena Torquata
